isbn,average_rating,ratings_count,work_text_reviews_count
439244196,3.93,747445,15832
307275558,3.7,665930,8024
143039954,3.73,670326,8101
156012197,4.28,738757,24537
074324754X,4.24,621099,40777
385486804,3.94,647684,17299
141439602,3.81,637412,13093
030734813X,3.96,447833,8143
60256656,4.38,702332,14368
385338600,4.03,597775,4239
374500010,4.3,691231,22001
014241493X,3.88,461311,42717
345418263,4.25,628637,15630
014038572X,4.06,659248,22662
385737947,4.02,719925,48942
61234001,3.93,524191,13668
517189607,4.12,639357,13054
60531045,4.04,490565,21671
375751513,4.06,590014,19647
345803507,3.88,387290,25287
393970124,3.98,618973,17263
307269981,4.22,563994,31423
1612130585,3.87,552059,28052
60786507,4.02,546502,19941
349113912,3.97,495736,14982
99408392,4.22,620618,9102
140449264,4.21,555822,15925
307265439,3.95,504793,38980
7524277,3.63,463257,62536
446693804,4.15,546948,11071
440241413,3.61,543658,11170
451525264,4.14,513407,12505
553381695,4.4,523303,20325
143037145,3.64,501430,18027
670026603,4.27,587647,71412
684833395,3.98,563265,13734
751529818,4.06,556518,19272
312422156,3.98,488243,20880
143039563,3.89,555359,7165
440498058,4.04,615907,19413
143038095,3.9,515090,6708
038549081X,4.06,607889,35925
385729332,3.75,525706,6477
60987103,3.52,506900,22926
582418275,3.99,488269,3139
316098337,4.03,511360,42254
521618746,4,515820,8889
340839937,4.19,485032,13239
316346624,3.92,490504,10895
1451648537,4.09,560715,15198
451163966,4.18,491642,7855
684830493,3.73,520630,16716
142000663,3.92,322321,12991
1401308589,3.9,449501,16682
451528824,4.23,502247,14041
1416914307,4.34,593173,22736
055357342X,4.54,469022,19497
006075995X,3.79,465676,3867
440242940,4.2,515547,36707
142437263,3.37,509883,11428
1594744769,3.89,613674,53569
030726999X,4.2,443951,26766
804139024,4.39,423344,61298
451207149,4.29,462517,26283
1476746583,4.31,470001,53413
1400064163,4.4,487775,41572
671027387,3.67,455610,7798
316055433,3.87,396756,44631
1595141715,4.02,463783,43467
452287022,3.85,467577,8011
525421033,3.96,503527,34959
312353766,4.16,424981,17234
786856866,4.23,514932,20097
446528056,4.01,441062,10626
1416914293,4.21,541117,23643
743477103,3.88,496018,7609
618346260,4.42,480446,6980
031232118X,3.83,403601,11567
394800168,4.29,457475,7370
142403881,4.1,453959,8473
1423101464,4.39,508214,14098
192833596,3.75,459247,12311
345339738,4.51,463959,6644
142311339X,4.35,271576,17107
1250012570,4.11,514312,53005
055358202X,4.1,428186,18876
525423648,3.68,511815,30226
747263744,4.11,378019,27587
385199570,4.34,438832,13808
446547565,4.14,424637,11051
552151696,3.6,423019,7538
141439580,3.99,459826,11724
345803922,4.02,297472,18064
393312836,3.98,431195,9958
964729237,3.74,419539,29377
739380338,4.5,397500,17693
451169514,4.18,292592,11698
143058142,4.18,380903,12605
61148512,3.98,401605,15963
7205236,4.07,392103,9798
553208845,3.99,372099,11518
679745580,4.05,381652,11754
316042676,3.76,436093,20808
1416975861,4.33,490890,24385
141301066,4.29,440743,11053
385534639,4.03,429543,54008
743227441,4.04,381080,15846
689865384,3.86,449073,21234
618640150,4.47,389054,9365
307592731,3.96,379872,34444
930289234,4.35,398018,10851
075640407X,4.55,400101,28631
316017922,4.11,353011,19383
142437247,3.46,358050,11223
385340990,4.12,393626,39853
393327345,4.2,365349,11176
441008534,3.96,420764,16818
671727796,4.17,376766,9485
739461192,4.12,367304,13407
312330871,4.23,408983,17264
385504225,3.66,369428,24199
1416989412,4,448166,21871
1561797464,4.02,394540,11568
345476875,3.97,372566,7951
62059939,4.15,505340,35681
312362080,4.03,391007,13050
1400052173,4.04,377249,28624
99446782,4.14,351107,3866
159514174X,4.14,248283,19720
316010669,3.89,348196,12215
038572179X,3.88,347006,14815
553213695,3.78,364933,10252
141382899,4.33,446668,15418
030788743X,4.31,349423,52120
1554681723,4.19,327409,32021
739303406,3.98,309385,25846
425263908,4.19,222678,16748
66238501,4.24,376385,8871
316043133,4.23,291411,532
1558743669,4.08,311543,13729
752864327,3.98,327122,3899
786817879,3.82,386923,8384
385738935,3.74,395296,17725
142000655,4.35,320919,14454
307341569,3.92,333452,28784
385339089,3.97,320083,1917
312291639,3.4,323762,5121
451527747,4.06,340920,7736
192802631,4.13,365425,13117
312370830,4.14,312444,26614
452284694,3.99,332494,13014
140003468X,3.89,283806,15246
014131088X,4,360156,18379
399159347,3.92,232106,27610
385494785,4.11,291258,10439
1416524304,3.93,356814,8264
031242227X,3.7,293878,11601
307346609,4.01,312969,22412
385537859,3.8,287533,33700
440227534,4.11,333638,10304
446692638,4.08,311499,3600
450417395,4.11,334647,6416
307341542,3.92,207889,28268
439366771,3.98,337644,9270
312360266,3.79,360044,12870
743269519,4.05,314700,6148
743477545,3.94,334241,5724
618711651,3.97,294726,21107
375869026,4.43,228538,43021
039480001X,4.15,314016,4299
312641893,4.15,427663,41109
316206849,3.83,297712,27258
545123267,3.78,356625,20521
452011876,3.68,283295,14666
143038257,3.64,283516,21681
517223627,4.03,343252,4876
143034901,4.24,263685,24652
385738757,3.93,305643,23058
767900383,3.72,279264,3074
399167064,4.2,306186,30120
590920685,3.97,339117,8534
743297334,3.83,284988,9826
61120073,4.24,291909,16088
446677388,3.93,274639,2798
312577222,4.54,253606,37279
1400078776,3.8,294123,21927
786890754,4.01,262921,7069
1844080382,4.2,177384,14920
156030306,4.07,313044,11328
552995878,3.94,263199,6559
812968069,4.05,280475,15807
451205766,4.36,256480,5832
525476881,3.63,312754,20657
553803719,4.13,279688,6240
62255657,3.99,293844,37655
60513063,4.34,297861,2431
751565350,3.75,270603,53365
61726834,3.99,256975,24271
385339704,3.95,288376,2006
61139378,4.03,316379,13905
60853980,4.25,298304,13914
140042598,3.64,246602,12011
1476729085,4.01,251703,31155
446579939,4.1,267166,9476
451191153,3.85,244545,10198
425172902,4.01,270318,2117
038039586X,4.05,292426,10399
307886263,3.84,290674,19397
375414495,4.28,258319,23146
006112527X,4.08,306492,4620
753453800,3.82,268012,7917
1423140591,4.44,299980,12270
1451627289,4.29,258464,30656
241003008,4.29,296952,5760
140285601,4.18,238940,8050
451528557,3.87,276076,7353
849946158,4.01,228371,14378
385751060,4.1,285692,19058
1892295490,3.42,255576,9791
044654759X,4.19,255531,12769
1582701709,3.62,241537,9663
60987561,4.17,246917,7775
1416524347,3.91,256383,5430
671021001,3.84,259576,9090
756404738,4.57,245686,15503
440241901,3.83,278747,9510
1442403543,4.16,341826,18870
743418174,3.7,248804,5500
380018179,4.22,255651,4556
60530928,4.12,302303,23840
1451681739,4,243526,29932
439709105,3.86,285011,10384
91883768,3.74,237272,7877
307279464,4.05,250192,14422
553279378,4.19,270859,6666
61950726,4.14,226091,24700
1442416866,4.3,300553,16639
316204277,3.9,215453,28973
375806814,4.04,268548,8725
60557818,4.18,268318,15680
571224385,4.08,205279,10682
552135399,4.22,226964,11197
316182540,3.93,245674,5960
039925675X,4.19,299998,23487
743496728,4.1,235978,14004
1401323251,4.25,241869,14988
812511816,4.18,260184,8212
61150142,4,221225,9257
60764902,4.01,268355,8690
595440096,4.3,223432,24112
425263916,4.33,252564,9817
375814248,3.99,270402,5120
446696617,4.05,233984,5039
345453743,4.37,222842,4254
340896965,3.77,222926,15937
60775858,4.27,244842,4604
61969559,3.94,253437,14101
140275363,3.83,241088,4763
316228532,3.28,231835,28751
385339690,3.96,222712,1700
316777730,4.08,201337,5096
375840400,3.96,250000,8284
140621679,3.98,247521,8866
000720230X,3.96,250221,4737
450031063,3.99,228680,6167
679785892,4.08,232489,5021
1416975888,4.46,307994,17854
62268341,3.81,251082,20301
743477553,3.88,238875,4334
1400033411,3.77,233825,7749
015206396X,4.1,281185,19081
439206472,3.89,275670,12794
449213943,3.92,249113,6947
679805273,4.34,257260,4021
159463176X,4.03,199326,24084
345404475,4.08,223828,8330
141439742,3.85,230181,5342
60652896,4.21,116277,8285
525423273,4.08,259479,26153
7173040,4.36,250602,2204
1401207928,4.25,210682,4138
743223136,4.05,215780,5334
553384287,3.94,205986,6357
679879250,4.1,242503,6139
439488400,3.74,237560,11717
1423113381,4.06,232791,10914
441788386,3.91,220301,6293
965904830,4.08,191923,5776
141311371,4.22,245855,7906
076790818X,4.19,191535,9065
439227143,3.83,223932,6770
385738773,3.77,223674,19975
61142026,4.07,237602,13731
618485228,3.96,184211,9824
670022411,3.99,226622,25179
375704027,4.02,183988,12522
446672211,4,208333,3147
525421580,3.84,236431,15782
307276902,3.62,184241,10857
1595141758,4.3,256745,10056
307352145,4.04,202135,17573
440439884,3.8,236015,6699
142437336,3.55,242980,5390
689840926,3.68,222553,10378
076531178X,4.43,208944,16276
451528956,3.79,223535,7958
679889108,4.35,226564,3231
810993139,3.96,254852,13337
1599906953,4.24,274987,29145
1595141979,4.37,266742,10074
684803356,3.95,195063,4658
345505336,3.98,197294,18120
140120831,4,178135,10057
60838582,3.73,179347,5063
747599874,4.06,284833,11330
441569595,3.88,183878,6623
99910101,3.79,186613,7249
553212281,4.15,195689,1050
1590302257,3.95,167332,6335
385344228,3.97,182025,17681
385334206,4.08,178154,5265
874774241,3.84,218264,591
60838728,3.92,192330,12134
739467352,4,171558,7872
375508414,4.26,207508,4439
385474547,3.61,199346,9884
385338694,3.82,200509,6772
1881273156,4.23,165675,7647
1416589643,3.7,116784,19680
031253275X,3.59,230031,9228
590032496,4.17,221431,5190
743298020,3.95,213200,19432
1595142509,4.37,224247,8030
1595141987,4.35,231853,8782
446676071,3.95,185116,3721
345521307,3.79,191850,18836
545044251,4.74,190050,6508
62059963,4.02,234247,21810
156001314,4.11,200217,6075
1416914633,3.77,196677,9202
802130208,3.89,170776,11881
158049580X,4.17,210630,6560
1423140605,4.47,277491,13332
60855924,3.97,190590,6520
1400079276,4.13,167593,13279
525945563,4.01,194013,3309
553803700,4.17,198368,4335
451216954,4.21,227021,10769
1416989439,4.07,226237,10041
61726818,3.92,220160,17705
679457313,3.91,165378,9294
670024783,4.23,168006,19518
141043768,4.05,165704,17382
553380168,4.12,165628,5146
525951652,4.26,168911,11859
1439148503,3.89,183292,13086
553380958,4.02,175883,7075
670061050,4.06,202180,7319
525467564,4.34,207550,2978
62060554,3.87,180896,19206
1420925539,4.15,201499,6954
375826726,4.03,211645,7993
310276993,3.9,170491,2755
312360282,3.93,205340,4993
451457811,4.02,203053,12005
1593082649,3.8,205167,8616
399162410,4.1,260048,26756
802142842,3.83,185979,4884
60245867,4.24,198083,3016
312323867,3.92,172417,6646
822210894,3.97,194493,2841
751537284,3.77,190473,14252
385353308,4.02,160466,24215
1476738017,4.35,183777,34386
1406321346,4.59,162099,23261
1416500189,3.97,182220,8259
140135154,3.75,155658,790
385335970,4.31,178110,12025
743495667,3.78,167400,2513
345368584,4.48,155338,957
1594489580,3.89,160330,16640
61120065,3.87,181106,9005
439321603,3.95,185928,6523
316322407,4.06,214412,14667
141439807,3.84,205064,7046
080701429X,4.33,171281,10147
670038601,3.74,188024,15392
618680004,3.89,162740,6812
525422943,4.06,193141,18556
345915593,4.07,167106,4569
515141429,4.04,162972,8032
375757325,3.66,178188,4603
937832383,3.78,153128,5389
440238153,4.06,192315,6693
765346524,4.13,175771,5485
1439153663,4.18,168082,15812
316769029,3.98,152906,5297
385720920,3.69,154643,5328
374528373,4.3,155838,7640
375822747,3.85,198809,9322
60541814,3.87,173186,2555
451933028,4.42,173950,4873
000100039X,4.22,142641,6263
394541553,4.35,184007,4837
312379838,3.95,191743,3356
812550757,4.04,164287,6579
684823780,4.31,184759,6041
1400031702,4.07,168405,13324
375725784,3.68,145459,8673
553381679,4.02,176062,5137
439228905,3.94,183255,3377
192833987,4.11,168037,8062
679735771,3.81,166083,7669
613371658,3.76,193140,4289
1400034779,3.75,180320,9369
1582406723,4.3,164530,3397
451457994,4.12,170841,3722
1590525132,4.48,157506,9147
842342702,3.81,161173,3210
62059998,4.21,139544,21608
545265355,4.49,129665,6429
805063897,3.6,152786,5723
593053893,3.76,170096,6838
812517725,4.2,162595,3061
743477154,4.01,167379,2261
385074077,4.37,160063,1055
553256696,4.42,171384,7801
192835084,4.29,139816,4922
553381547,4.22,159596,3454
312282990,4.17,147717,9326
802798233,4.07,198627,9882
805072454,4.1,169306,7464
689865392,3.85,193405,9390
965341984,4.17,133408,10724
739465511,4.14,149438,4757
375507256,4.01,152441,17001
767902890,4.12,168678,10666
1844137872,3.83,149453,687
006197806X,4.07,181656,13876
307277887,3.89,150055,5656
1841493007,3.97,190565,6388
765305119,4.23,153809,2471
141439491,3.55,168727,3927
743482751,4.06,175616,2686
393320979,3.42,155903,5098
1401207529,4.23,145267,1954
62409859,3.31,138669,24535
316143472,4.04,150898,9013
316134023,4.04,198283,23582
1409151174,4.08,83354,30249
1400069289,4.03,155977,9515
679751521,3.9,167997,6635
1301949825,4.34,189938,18984
142437018,4.2,199872,5128
142406252,4.13,179415,7421
439861365,3.9,189671,4913
1595143068,4.42,206792,10312
64400026,4.18,195424,3220
380002558,4.29,173469,2714
60589469,3.76,139411,6535
375759239,3.8,159752,4930
60887303,3.9,156328,8160
670241334,4.28,160860,1902
1594200823,4.17,133271,11843
316176486,3.74,138454,20822
446696129,4.1,142092,3261
045057458X,3.87,153821,2448
385335997,4.38,157395,8381
393315053,4.12,156869,194
307348245,3.65,158215,2832
747560595,3.83,159249,7547
441012183,4.13,199572,5327
141439599,3.77,171599,6737
192840398,3.64,158877,7617
394820371,4.22,178432,8011
765326353,4.64,144822,10947
1841493015,4.03,181323,5029
078685197X,4.14,161001,8461
765316889,4.35,150736,8541
034552554X,4.07,140076,17457
156389341X,4.25,135979,2838
446617792,4.08,172302,8606
1573225517,3.94,134849,4792
446696110,4.14,136427,4333
385721676,4,151500,10391
60574216,3.52,113915,4191
60899220,4,134177,7582
99244721,3.83,148563,3628
486266893,3.76,151471,5504
374480095,3.85,174280,7187
2253147699,3.72,151160,2092
1713221,4.16,174204,1864
071483355X,3.83,164708,470
312642962,4.3,193766,23054
751532711,3.95,153764,6790
1442426640,4.16,190722,7290
670020559,3.47,147908,18232
1421501686,4.42,139501,2470
689875347,3.79,173613,8902
60529709,3.9,131492,7019
752863886,4.09,142168,1010
425266745,4.11,133937,11189
140439447,3.96,150512,4623
316013684,4.11,160607,18988
679760806,4.32,131389,7365
553383043,3.99,155042,5357
763616052,4,154476,6594
743253973,3.56,155901,5580
385339607,3.91,137412,1518
142437239,3.85,134931,5429
6480098,4.14,132777,6023
345418921,4.22,153838,3851
385739141,3.89,174393,7245
723247706,4.17,162373,1404
64405044,3.95,170453,3391
765316897,4.46,143622,9111
679746048,3.9,145161,3532
61173398,3.85,127096,6724
743278909,3.8,133728,5501
1481426303,4.48,177796,19582
920668372,4.34,159703,4286
1416524517,3.64,144591,4841
067002581X,4.32,113565,16287
618391118,3.87,134106,5743
451210859,4.23,139052,5293
330449605,4.12,138377,15953
99428644,3.98,131856,4717
142501557,4.03,151829,4597
743275012,3.97,128406,6231
385523386,3.7,127186,12873
451528018,4.09,154517,5421
374275637,4.08,136950,5715
345350499,4.12,157736,5582
689841582,3.89,151789,5168
446612707,3.82,129807,4025
1476754454,3.92,125847,12447
441014941,4.05,162689,3372
375706771,3.97,133155,3830
395389496,4.29,168001,2498
140544518,4.29,141945,2618
425134350,4.11,141674,939
61124265,3.69,111856,6063
385349947,3.94,135635,10385
441013333,4.01,169560,3733
62085484,4.01,176433,20959
441783589,3.99,136886,4034
385342063,3.93,144533,10577
1857993284,3.88,109692,7652
316134112,4.3,188136,134
553278223,4.12,143236,5204
307592839,3.64,120126,15030
753454947,3.97,144497,2667
61015725,3.72,131352,2700
7202326,4.02,158701,4156
525950079,4.23,128715,9392
312360304,3.9,180961,4013
60874163,3.84,150003,8576
140424385,3.48,148480,2615
312348649,3.71,124371,3375
375856110,4.08,146905,8891
307593312,3.89,125195,13779
1840224029,3.83,137858,5696
60809248,3.97,141110,4590
441014917,4.02,163054,3669
156007754,4.08,98738,11061
374158460,3.73,119213,12909
142421715,3.52,100886,14020
1423100034,3.82,150222,6720
1416562591,3.71,114531,8334
1841156736,3.78,117657,8201
1921351438,3.81,128961,5843
60541830,3.55,129811,1587
689711735,4.22,146073,2213
618101365,4.12,110651,8145
60838655,4.07,137372,4320
679745653,3.89,129778,7331
345504968,4.04,126993,16506
60515198,4,137639,7758
670011940,4.08,151721,6238
159420571X,3.78,108703,15177
553383809,4.2,119930,5244
451155750,3.9,132723,2294
646418432,3.98,135514,3826
425200450,4.16,138444,8713
307271080,4.26,113252,13831
446611085,4.16,121398,4255
451167805,3.85,142213,1859
425263924,4.19,141641,9728
307266303,4.27,109642,11605
1616203218,3.98,115393,20980
590133373,4.22,156726,1407
1585424331,4.17,87445,3272
60885378,4.16,165127,4096
765356155,3.8,133683,11516
446696137,4.02,116800,3392
1423146727,4.54,159774,11843
61448761,3.85,144606,9445
446615862,3.98,118045,5443
743226720,4.06,130293,5963
330419129,3.98,112167,8947
61928127,3.67,116053,13738
307237699,3.69,110873,4511
743455967,4.31,131481,11807
312364083,4.04,121966,11137
345418972,3.77,128244,2313
312348673,3.7,124812,4743
316206873,4.03,120008,13549
345476883,4.05,141299,3097
62049801,3.85,124837,14781
374533571,4,110939,11059
076072850X,3.86,121112,4608
743272498,3.88,124786,4166
151009988,3.78,136327,6360
1843913720,3.81,92275,16350
067102423X,3.87,131004,3087
786226749,4.1,124876,3170
451190750,3.66,130219,1641
014044906X,3.9,117108,4341
60739495,3.95,129350,5530
60589280,3.69,102206,5444
316767727,4.19,105138,3423
031610969X,3.67,121373,7434
1416912045,4.18,143892,15376
385335989,4.34,123736,5743
399256768,4.29,149702,12663
074348276X,3.89,135448,3079
435233076,3.49,132061,3486
446579920,3.99,93479,6808
545422906,4.51,119915,384
452287588,4.02,106211,5862
1591164419,4.21,120004,890
1451666179,4.17,118910,10136
812513738,4.21,122524,2145
192076920X,4.26,95213,10295
441015891,4.01,151095,3500
670032565,4.24,117483,3844
451188454,4.18,120541,1785
375408266,3.73,119911,8529
805047905,4.19,125668,2731
553283685,4.21,122225,5640
142000698,3.41,133264,6121
61007226,4.14,124467,2850
031612558X,3.51,145874,9885
067976402X,3.8,131945,3881
440174643,4.42,118951,2644
930289455,4.36,113855,3711
679732764,3.84,123073,4160
374105235,4.14,116260,9015
689862202,4.13,135978,2718
751514624,4.34,105961,3148
60529962,4.33,124320,2016
143035479,3.29,113977,2809
380813815,4.26,118576,10411
1577314808,4.1,104549,5376
399159010,3.9,118475,15544
553804677,4.3,118751,9655
64471837,4.17,137047,5652
441017150,4.01,145157,4315
1439102767,4.26,109313,13923
1620610078,4.23,164832,15367
345418905,4.19,131562,2354
1619630621,4.49,160485,19450
1932664084,4.18,126864,3118
1416586288,4.05,110597,10401
61020680,4.22,128450,3081
373210086,3.92,158063,10506
067168390X,4.47,111498,5343
393324826,4.05,122502,10513
1595143173,4.22,140599,7698
765342405,4.3,115521,4587
385342020,3.82,119105,6023
340606517,4.34,108338,1605
452287065,3.99,109944,4963
1416563687,3.9,119739,6293
345350685,4.29,124805,3951
1563892278,4.3,122540,4388
345465083,4.2,111497,3636
038073186X,4.07,113718,6990
553328255,4.5,109754,2774
198320272,3.65,119933,3044
307408841,3.81,110481,12570
140449140,3.9,110274,2261
074347757X,3.81,126318,2370
312642970,4.46,162069,20055
006621131X,4.14,106542,8415
714836257,3.79,102746,192
767905180,3.62,101436,2448
451527887,3.97,119851,3255
140003065X,4.34,99252,7227
836220889,4.61,117788,684
689865406,3.77,139168,7313
543898083,3.63,125474,5662
031237982X,3.93,138103,3204
1401303277,4.09,102193,6632
425144372,4.08,105317,574
60513098,4.33,111779,1281
61992704,3.98,102560,7386
2020336464,4.07,59453,2029
553803727,4.2,105595,2054
1878424505,4.12,97016,6132
743296435,4.01,111239,9871
394709306,4.31,116324,1851
744583276,4.15,134537,5440
1476727651,4.1,95276,13654
140285679,3.79,101999,2794
1434768511,4.15,106351,3011
7173687,4.12,117582,2074
553213873,4.07,107313,1683
052595127X,3.88,98645,11062
446563080,3.7,106336,11875
1591826039,4.23,118467,1541
743482832,3.8,125178,2831
1905654944,3.98,120763,2999
340829788,4.24,105026,4070
385351399,3.46,109412,17954
439813786,4.23,132159,13128
60776099,4.16,108124,1012
1591169151,4.36,113881,949
778316556,3.81,100936,11244
1250049377,3.55,113805,15782
1905654588,3.96,127387,3165
375706674,4.12,100513,6281
7230206,3.85,102936,12827
006441034X,4.3,123945,9219
2226131906,3.59,115855,1856
691096120,3.79,108062,3620
571225381,4.1,105892,7455
446547654,3.91,103915,9610
224094157,3.7,94968,12966
312938993,3.82,116026,3236
1580495931,3.67,119496,2129
1400067111,3.87,106729,8654
143039091,3.98,124612,4057
037571457X,4.23,117103,6588
1420925431,3.91,109994,3969
316084239,3.86,136736,11130
067001088X,4.01,120475,4950
399151575,4.13,78028,4462
385339666,3.76,102715,1337
1569319006,4.35,104633,1207
812993292,3.89,94012,14583
307931889,3.99,121863,15539
312861877,3.77,104467,3217
743477561,3.78,115621,2616
440178002,4.37,104339,3075
451219368,4.45,134249,5926
1619634449,4.29,167848,25463
345803574,4.13,76876,6275
068983568X,4.21,105192,3318
545132053,4.19,98628,6516
151010269,4.26,116197,1293
140286276,3.84,102733,1095
345457374,3.98,99926,2871
60288140,3.74,112733,3833
374214913,3.75,110552,20150
743496310,3.79,109063,6055
590452037,3.86,99831,3689
99285444,4,54937,4657
743482778,3.97,119607,2615
385732562,3.8,114917,9480
014240120X,4.03,117108,7814
345539788,4.26,104939,15775
316033677,4.15,109236,4025
812474945,3.94,105032,5259
1476712980,4.23,134022,11348
765326361,4.77,73572,7261
076360013X,4.36,104690,1326
440221668,4.26,103552,5048
450042685,3.96,104248,2038
1400064562,3.96,102574,2205
393328627,3.91,98379,9622
142402494,4.11,123065,2615
1933372605,3.73,101669,15335
743270754,4.3,102923,5875
441018645,3.88,127379,5325
679720219,3.97,95803,3494
439206480,3.95,130213,4863
145162137X,4,92849,8593
61214655,3.69,131034,6591
039515023X,4.13,105473,845
525457585,4.17,109110,4303
571212921,4.12,98276,1100
1884365302,3.72,97468,4750
61662690,4.03,132285,5830
684853949,4.04,102419,4238
006074815X,4.16,93475,1990
1860498809,3.95,98464,5908
1594747350,4.07,73149,14221
375727345,3.83,55381,3589
356500152,3.93,99729,14701
067973225X,3.72,103547,5508
747532036,4.24,107221,1570
451218043,4.35,137558,5559
553803735,4.23,96865,1675
451458125,4.04,111371,5269
316204366,3.9,90083,7317
1591169208,4.49,93990,1103
61020648,4.32,108652,2610
1400078431,3.86,94590,7729
006112429X,4.07,101343,11369
1857231589,4.06,93151,2773
345419626,3.86,110693,1921
159308143X,3.93,102646,5051
199291152,4.11,96564,2460
142001430,4,104283,8124
446612731,4.08,98591,3068
452281253,3.62,95620,7096
1936305623,4.02,119633,7192
689707495,4.15,104677,1782
1400068932,3.87,97745,11386
425227510,4.1,103933,3560
074349671X,3.48,99170,5101
1423140567,4.2,116360,4900
765348276,4.23,97653,6878
831727527,3.47,100158,2445
140255559,4.11,116171,4045
684818701,4.14,102348,1009
60510862,4.15,87636,4340
8497597729,3.79,100972,2296
812971060,3.57,94696,6576
575079797,4.14,97501,5521
786851473,3.94,108031,2434
743225422,3.83,103151,4044
1607747308,3.77,105063,17320
385755880,4.19,132087,21192
671011367,3.86,100369,3098
552562521,3.84,58396,7165
374203059,3.42,90551,10634
61120251,3.89,89770,3142
1476789630,3.48,82504,9278
689865198,4.16,104168,7239
545424925,4.05,121727,20296
031286504X,3.99,98795,4383
140006208X,3.78,85019,14175
081299499X,3.33,88251,7732
66620996,4.04,85277,3100
803734611,4.12,98180,9159
439236193,3.94,100223,3017
141651693X,4.17,98182,2874
440238609,4.25,88227,4499
1480095532,4.26,117508,10763
006222543X,3.82,86965,10243
525426582,3.94,87412,9884
312305060,3.91,97462,4109
1623420024,4.1,134805,11854
316191299,3.95,82591,4509
451188462,3.8,94821,1787
385739168,3.89,119735,5464
385742886,3.69,96568,8219
144477851X,4.19,73886,13789
375726403,3.91,90811,3722
1857232097,4.13,93227,1864
803734964,4.14,140937,16701
009928264X,3.93,49551,3078
385338708,3.77,98130,2434
1416524525,4.27,93296,3945
316070521,4.2,88847,417
440241812,3.75,93498,2785
393316041,4.29,91625,3500
545123283,3.91,125363,8784
553609416,4.42,92142,1438
142437344,3.6,92569,3934
765302306,4.34,94095,2582
451529170,3.93,95995,5292
385339100,3.89,86870,1896
345538374,4.59,90907,1565
146109111X,4.12,90483,8939
446350982,4.1,91774,1114
045052468X,3.74,94624,1357
316001929,3.62,73994,4534
374292795,3.66,78271,3277
385743564,4.16,76261,10160
1558580093,4.15,95421,1764
553213970,3.84,89410,3483
61583251,3.57,94456,10295
679740678,3.66,84180,7689
393322238,4,92158,2510
793551617,4.44,90574,262
812970063,3.99,87511,3576
670023485,4.04,97925,11911
345544927,3.94,76553,11792
441013813,4.18,129150,6493
786838922,3.68,116687,4679
812976142,4.05,96981,4026
812993543,4.4,74218,13113
140424393,3.8,96316,2645
393072231,4.26,37090,5659
1416524290,3.56,95768,3281
1406311529,4.36,104579,24522
765325942,4.42,91383,2356
553266306,4.25,85883,1439
307463745,3.93,88626,2938
525951989,3.95,105414,16114
739352350,3.88,89204,3641
679644199,4.04,85582,11579
312965788,4.31,64779,2770
312966091,4.14,113400,2912
1576469239,4.06,93217,5087
037582913X,4.45,102184,2504
425193799,4.09,106435,2081
805094598,4.05,135225,17829
770437850,3.22,74979,14162
399256776,4.37,114623,12759
2266079999,4.11,90917,2126
